currency,horizon,model,window_idx,news_grounding_rate,explanation_len,coherence_score,factor_types,n_factors_cited,confidence_score
USDAUD,1,llama3-8b,0,0.2,32,0.492,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""market_technical""]",4,0.8
USDAUD,1,llama3-8b,1,0.5,45,0.67,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,1,llama3-8b,2,0.5,45,0.67,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,1,llama3-8b,3,0.2,34,0.604,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.8
USDAUD,1,llama3-8b,4,0.5,45,0.67,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,1,llama3-8b,5,0.5,45,0.67,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,1,llama3-8b,6,0.5,45,0.67,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,1,llama3-8b,7,0.2,35,0.56,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""market_technical""]",4,0.7
USDAUD,1,llama3-8b,8,0.5,45,0.67,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,1,llama3-8b,9,0.5,45,0.67,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,1,llama3-8b,10,0.5,45,0.67,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,1,llama3-8b,11,0.5,45,0.67,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,1,llama3-8b,12,0.5,45,0.67,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
