currency,horizon,model,window_idx,explanation_len,news_grounding_rate,n_factors_cited,coherence_score,confidence_score,abs_pred_error,directional_accuracy
USDAUD,1,llama3-8b,0,32,0.2,4,0.492,0.8,0.0014999557495114502,
USDAUD,1,llama3-8b,1,45,0.5,5,0.67,0.5,0.0014999557495114502,
USDAUD,1,llama3-8b,2,45,0.5,5,0.67,0.5,0.012129957580566453,
USDAUD,1,llama3-8b,3,34,0.2,5,0.604,0.8,0.006990011978149413,
USDAUD,1,llama3-8b,4,45,0.5,5,0.67,0.5,0.0015100391387938839,
USDAUD,1,llama3-8b,5,45,0.5,5,0.67,0.5,0.002472027969360413,
USDAUD,1,llama3-8b,6,45,0.5,5,0.67,0.5,0.00029999713897699287,
USDAUD,1,llama3-8b,7,35,0.2,4,0.56,0.7,0.0014999971389770828,
USDAUD,1,llama3-8b,8,45,0.5,5,0.67,0.5,0.0014999971389770828,
USDAUD,1,llama3-8b,9,45,0.5,5,0.67,0.5,0.005310045242309602,
USDAUD,1,llama3-8b,10,45,0.5,5,0.67,0.5,0.009129979896545404,
USDAUD,1,llama3-8b,11,45,0.5,5,0.67,0.5,0.007838998222351012,
USDAUD,1,llama3-8b,12,45,0.5,5,0.67,0.5,0.014297968482971157,
USDAUD,1,llama3-8b,13,45,0.5,5,0.67,0.5,0.00582002048492436,
USDAUD,1,llama3-8b,14,32,0.2,4,0.492,0.8,0.0015200204849243892,
USDAUD,1,llama3-8b,15,45,0.5,5,0.67,0.5,0.0015200204849243892,
USDAUD,1,llama3-8b,16,45,0.5,5,0.67,0.5,0.0025199823379515873,
USDAUD,1,llama3-8b,17,31,0.2,3,0.436,0.7,0.009495054244995194,
USDAUD,1,llama3-8b,18,29,0.2,5,0.574,0.8,0.006863048553466866,
USDAUD,1,llama3-8b,19,45,0.5,5,0.67,0.5,0.026659018898010478,
USDAUD,1,qwen2.5-7b,0,37,0.2,3,0.622,0.7,0.003899955749511408,
USDAUD,1,qwen2.5-7b,1,37,0.2,3,0.622,0.7,0.003899955749511408,
USDAUD,1,qwen2.5-7b,2,38,0.2,4,0.678,0.7,0.009729957580566495,
USDAUD,1,qwen2.5-7b,3,37,0.2,3,0.622,0.7,0.006990011978149413,
USDAUD,1,qwen2.5-7b,4,38,0.2,4,0.678,0.7,0.0015100391387938839,
USDAUD,1,qwen2.5-7b,5,38,0.2,4,0.678,0.7,0.002472027969360413,
USDAUD,1,qwen2.5-7b,6,37,0.2,2,0.422,0.7,0.00029999713897699287,
USDAUD,1,qwen2.5-7b,7,40,0.2,3,0.69,0.7,0.0014999971389770828,
USDAUD,1,qwen2.5-7b,8,40,0.2,2,0.44,0.7,0.0014999971389770828,
USDAUD,1,qwen2.5-7b,9,37,0.2,2,0.422,0.7,0.005310045242309602,
USDAUD,1,qwen2.5-7b,10,40,0.2,2,0.59,0.7,0.009129979896545404,
USDAUD,1,qwen2.5-7b,11,35,0.2,4,0.66,0.7,0.007838998222351012,
USDAUD,1,qwen2.5-7b,12,37,0.2,4,0.722,0.7,0.014297968482971157,
USDAUD,1,qwen2.5-7b,13,34,0.2,4,0.704,0.7,0.007020020484924228,
USDAUD,1,qwen2.5-7b,14,36,0.2,3,0.616,0.7,0.007020020484924228,
USDAUD,1,qwen2.5-7b,15,36,0.2,3,0.616,0.7,0.002020020484924334,
USDAUD,1,qwen2.5-7b,16,35,0.2,3,0.61,0.7,0.0020199823379516424,
USDAUD,1,qwen2.5-7b,17,39,0.2,3,0.684,0.7,0.010995054244995028,
USDAUD,1,qwen2.5-7b,18,37,0.2,4,0.722,0.7,0.006863048553466866,
USDAUD,1,qwen2.5-7b,19,35,0.2,4,0.71,0.7,0.026659018898010478,
USDAUD,1,mistral-7b,0,38,0.1,3,0.478,0.7,0.003899955749511408,
USDAUD,1,mistral-7b,1,29,0.1,3,0.424,0.75,0.0018999557495114061,
USDAUD,1,mistral-7b,2,28,0.1,1,0.318,0.75,0.011729957580566497,
USDAUD,1,mistral-7b,3,39,0.1,3,0.484,0.75,0.008190011978149503,
USDAUD,1,mistral-7b,4,33,0.1,2,0.398,0.75,0.002210039138794029,
USDAUD,1,mistral-7b,5,37,0.2,2,0.422,0.75,0.001772027969360268,
USDAUD,1,mistral-7b,6,29,0.1,1,0.324,0.75,0.0009999971389771378,
USDAUD,1,mistral-7b,7,32,0.1,2,0.392,0.8,0.0029999971389771396,
USDAUD,1,mistral-7b,8,36,0.2,2,0.416,0.75,0.0016999971389770607,
USDAUD,1,mistral-7b,9,29,0.2,1,0.324,0.75,0.00551004524230958,
USDAUD,1,mistral-7b,10,30,0.1,1,0.33,0.7,0.009129979896545404,
USDAUD,1,mistral-7b,11,30,0.2,3,0.43,0.75,0.009938998222351003,
USDAUD,1,mistral-7b,12,28,0.2,1,0.318,0.75,0.01519796848297128,
USDAUD,1,mistral-7b,13,28,0.2,1,0.318,0.75,0.007020020484924228,
USDAUD,1,mistral-7b,14,28,0.1,1,0.318,0.75,0.002520020484924279,
USDAUD,1,mistral-7b,15,39,0.1,3,0.484,0.75,0.002520020484924279,
USDAUD,1,mistral-7b,16,28,0.1,1,0.318,0.75,0.0015199823379516975,
USDAUD,1,mistral-7b,17,30,0.1,2,0.38,0.75,0.010995054244995028,
USDAUD,1,mistral-7b,18,29,0.1,1,0.324,0.75,0.007363048553466811,
USDAUD,1,mistral-7b,19,29,0.2,1,0.324,0.65,0.02425901889801052,
