currency,horizon,model,window_idx,news_grounding_rate,explanation_len,coherence_score,factor_types,n_factors_cited,confidence_score
USDAUD,10,qwen2.5-7b,17,0.2,55,0.55,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,10,qwen2.5-7b,18,0.2,47,0.482,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,10,qwen2.5-7b,19,0.2,53,0.55,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,10,mistral-7b,0,0.2,61,0.6,"[""monetary_policy"", ""market_technical""]",2,0.7
USDAUD,10,mistral-7b,1,0.2,61,0.6,"[""monetary_policy"", ""market_technical""]",2,0.7
USDAUD,10,mistral-7b,2,0.2,44,0.564,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.7
USDAUD,10,mistral-7b,3,0.2,54,0.65,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.7
USDAUD,10,mistral-7b,4,0.2,51,0.6,"[""monetary_policy"", ""market_technical""]",2,0.7
USDAUD,10,mistral-7b,5,0.2,43,0.558,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.7
USDAUD,10,mistral-7b,6,0.2,59,0.6,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.7
USDAUD,10,mistral-7b,7,0.2,63,0.65,"[""monetary_policy"", ""economic_growth"", ""market_technical""]",3,0.7
USDAUD,10,mistral-7b,8,0.2,63,0.65,"[""monetary_policy"", ""economic_growth"", ""market_technical""]",3,0.7
USDAUD,10,mistral-7b,9,0.2,60,0.6,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,10,mistral-7b,10,0.2,57,0.6,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,10,mistral-7b,11,0.2,61,0.6,"[""monetary_policy"", ""market_technical""]",2,0.7
USDAUD,10,mistral-7b,12,0.2,52,0.6,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.7
USDAUD,10,mistral-7b,13,0.2,61,0.6,"[""monetary_policy"", ""market_technical""]",2,0.7
USDAUD,10,mistral-7b,14,0.2,47,0.582,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.7
USDAUD,10,mistral-7b,15,0.2,56,0.6,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,10,mistral-7b,16,0.2,56,0.6,"[""economic_growth"", ""market_technical""]",2,0.7
USDAUD,10,mistral-7b,17,0.2,52,0.6,"[""monetary_policy"", ""market_technical""]",2,0.7
USDAUD,10,mistral-7b,18,0.2,51,0.6,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.7
USDAUD,10,mistral-7b,19,0.2,64,0.65,"[""risk_sentiment"", ""market_technical""]",2,0.7
