currency,horizon,model,window_idx,news_grounding_rate,explanation_len,coherence_score,factor_types,n_factors_cited,confidence_score
USDAUD,10,llama3-8b,0,0.4,64,0.75,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.5
USDAUD,10,llama3-8b,1,0.4,64,0.75,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.5
USDAUD,10,llama3-8b,2,0.4,70,0.7,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.5
USDAUD,10,llama3-8b,3,0.2,38,0.478,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.7
USDAUD,10,llama3-8b,4,0.4,68,0.65,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.5
USDAUD,10,llama3-8b,5,0.4,66,0.7,"[""risk_sentiment"", ""market_technical""]",2,0.5
USDAUD,10,llama3-8b,6,0.4,66,0.65,"[""risk_sentiment"", ""market_technical""]",2,0.5
USDAUD,10,llama3-8b,7,0.4,70,0.7,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.5
USDAUD,10,llama3-8b,8,0.4,67,0.65,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.5
USDAUD,10,llama3-8b,9,0.2,36,0.416,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,10,llama3-8b,10,0.4,69,0.7,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.5
USDAUD,10,llama3-8b,11,0.4,69,0.7,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.5
USDAUD,10,llama3-8b,12,0.4,66,0.65,"[""risk_sentiment"", ""market_technical""]",2,0.5
USDAUD,10,llama3-8b,13,0.2,38,0.478,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.7
USDAUD,10,llama3-8b,14,0.4,69,0.7,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.5
USDAUD,10,llama3-8b,15,0.4,79,0.65,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.5
USDAUD,10,llama3-8b,16,0.2,38,0.478,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.7
USDAUD,10,llama3-8b,17,0.4,64,0.75,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.5
USDAUD,10,llama3-8b,18,0.4,69,0.7,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.5
USDAUD,10,llama3-8b,19,0.4,79,0.65,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.5
USDAUD,10,qwen2.5-7b,0,0.2,55,0.55,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,10,qwen2.5-7b,1,0.3,52,0.5,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,10,qwen2.5-7b,2,0.2,47,0.482,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,10,qwen2.5-7b,3,0.2,47,0.482,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,10,qwen2.5-7b,4,0.2,57,0.6,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDAUD,10,qwen2.5-7b,5,0.2,46,0.376,[],0,0.7
USDAUD,10,qwen2.5-7b,6,0.2,44,0.564,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,10,qwen2.5-7b,7,0.2,55,0.6,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDAUD,10,qwen2.5-7b,8,0.2,55,0.55,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,10,qwen2.5-7b,9,0.2,55,0.55,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,10,qwen2.5-7b,10,0.3,54,0.6,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,10,qwen2.5-7b,11,0.2,54,0.45,"[""market_technical""]",1,0.7
USDAUD,10,qwen2.5-7b,12,0.2,52,0.45,"[""market_technical""]",1,0.7
USDAUD,10,qwen2.5-7b,13,0.2,54,0.6,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDAUD,10,qwen2.5-7b,14,0.2,49,0.544,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,10,qwen2.5-7b,15,0.2,49,0.544,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,10,qwen2.5-7b,16,0.2,49,0.544,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
