currency,horizon,model,window_idx,explanation_len,news_grounding_rate,n_factors_cited,coherence_score,confidence_score,abs_pred_error,directional_accuracy
USDIDR,5,llama3-8b,0,56,0.5555555555555556,4,0.7,0.5,75.12900000000009,25.0
USDIDR,5,llama3-8b,1,36,0.2222222222222222,4,0.616,0.7,35.53792187500003,50.0
USDIDR,5,llama3-8b,2,56,0.5555555555555556,4,0.7,0.5,21.583321875000184,25.0
USDIDR,5,llama3-8b,3,37,0.2222222222222222,4,0.622,0.7,21.47522187499999,50.0
USDIDR,5,llama3-8b,4,56,0.5555555555555556,4,0.7,0.5,38.63882187499985,75.0
USDIDR,5,llama3-8b,5,56,0.5555555555555556,4,0.7,0.5,63.04942187499982,50.0
USDIDR,5,llama3-8b,6,37,0.2222222222222222,4,0.622,0.7,16.68044000000009,50.0
USDIDR,5,llama3-8b,7,58,0.5555555555555556,4,0.7,0.5,31.847999999999956,25.0
USDIDR,5,llama3-8b,8,61,0.5555555555555556,4,0.7,0.5,25.09679999999971,0.0
USDIDR,5,llama3-8b,9,55,0.5555555555555556,4,0.7,0.5,59.19903906249965,25.0
USDIDR,5,llama3-8b,10,58,0.5555555555555556,4,0.7,0.5,44.071039062500134,50.0
USDIDR,5,llama3-8b,11,56,0.5555555555555556,4,0.7,0.5,32.73856093750037,50.0
USDIDR,5,llama3-8b,12,56,0.5555555555555556,4,0.7,0.5,37.736960937500044,50.0
USDIDR,5,llama3-8b,13,37,0.2222222222222222,4,0.622,0.7,45.46876093749997,25.0
USDIDR,5,llama3-8b,14,56,0.5555555555555556,4,0.7,0.5,72.73719999999994,0.0
USDIDR,5,llama3-8b,15,37,0.2222222222222222,4,0.622,0.7,96.76499999999979,0.0
USDIDR,5,llama3-8b,16,56,0.5555555555555556,4,0.7,0.5,81.30800000000018,25.0
USDIDR,5,llama3-8b,17,37,0.2222222222222222,4,0.622,0.7,52.15353906249984,25.0
USDIDR,5,llama3-8b,18,36,0.2222222222222222,4,0.616,0.7,39.08457812500019,50.0
USDIDR,5,llama3-8b,19,36,0.2222222222222222,4,0.616,0.7,34.13737812500003,75.0
USDIDR,5,qwen2.5-7b,0,37,0.2222222222222222,5,0.622,0.7,75.12900000000009,25.0
USDIDR,5,qwen2.5-7b,1,43,0.2222222222222222,5,0.608,0.7,35.53792187500003,50.0
USDIDR,5,qwen2.5-7b,2,44,0.2222222222222222,5,0.614,0.7,21.583321875000184,25.0
USDIDR,5,qwen2.5-7b,3,37,0.2222222222222222,5,0.572,0.7,21.47522187499999,50.0
USDIDR,5,qwen2.5-7b,4,40,0.2222222222222222,5,0.64,0.7,38.63882187499985,75.0
USDIDR,5,qwen2.5-7b,5,40,0.2222222222222222,5,0.64,0.7,63.04942187499982,50.0
USDIDR,5,qwen2.5-7b,6,37,0.2222222222222222,5,0.572,0.7,16.68044000000009,50.0
USDIDR,5,qwen2.5-7b,7,37,0.2222222222222222,5,0.622,0.7,35.847999999999956,25.0
USDIDR,5,qwen2.5-7b,8,38,0.2222222222222222,5,0.628,0.7,25.09679999999971,0.0
USDIDR,5,qwen2.5-7b,9,41,0.2222222222222222,5,0.646,0.7,39.67103906250013,25.0
USDIDR,5,qwen2.5-7b,10,40,0.2222222222222222,5,0.64,0.7,26.187760937500208,50.0
USDIDR,5,qwen2.5-7b,11,40,0.2222222222222222,5,0.64,0.7,26.535360937500446,50.0
USDIDR,5,qwen2.5-7b,12,35,0.2222222222222222,4,0.51,0.7,33.736960937500044,50.0
USDIDR,5,qwen2.5-7b,13,46,0.2222222222222222,4,0.626,0.7,45.46876093749997,25.0
USDIDR,5,qwen2.5-7b,14,41,0.2222222222222222,4,0.646,0.7,72.73719999999994,0.0
USDIDR,5,qwen2.5-7b,15,40,0.2222222222222222,5,0.64,0.7,96.76499999999979,0.0
USDIDR,5,qwen2.5-7b,16,40,0.2222222222222222,5,0.64,0.7,81.30800000000018,25.0
USDIDR,5,qwen2.5-7b,17,37,0.2222222222222222,5,0.622,0.7,52.15353906249984,25.0
USDIDR,5,qwen2.5-7b,18,40,0.2222222222222222,5,0.64,0.7,39.08457812500019,50.0
USDIDR,5,qwen2.5-7b,19,38,0.2222222222222222,4,0.528,0.7,34.13737812500003,75.0
USDIDR,5,mistral-7b,0,43,0.2222222222222222,2,0.508,0.7,75.12900000000009,25.0
USDIDR,5,mistral-7b,1,43,0.2222222222222222,2,0.508,0.7,35.53792187500003,50.0
USDIDR,5,mistral-7b,2,54,0.2222222222222222,3,0.55,0.7,21.583321875000184,25.0
USDIDR,5,mistral-7b,3,43,0.2222222222222222,3,0.508,0.7,21.47522187499999,50.0
USDIDR,5,mistral-7b,4,44,0.2222222222222222,3,0.514,0.7,38.63882187499985,75.0
USDIDR,5,mistral-7b,5,38,0.2222222222222222,2,0.428,0.7,63.04942187499982,50.0
USDIDR,5,mistral-7b,6,48,0.2222222222222222,3,0.738,0.7,16.68044000000009,50.0
USDIDR,5,mistral-7b,7,42,0.2222222222222222,3,0.652,0.7,35.847999999999956,25.0
USDIDR,5,mistral-7b,8,37,0.2222222222222222,3,0.522,0.7,25.09679999999971,0.0
USDIDR,5,mistral-7b,9,42,0.2222222222222222,3,0.502,0.7,39.67103906250013,25.0
USDIDR,5,mistral-7b,10,42,0.2222222222222222,3,0.552,0.7,26.187760937500208,50.0
USDIDR,5,mistral-7b,11,43,0.2222222222222222,3,0.558,0.7,26.535360937500446,50.0
USDIDR,5,mistral-7b,12,46,0.2222222222222222,3,0.676,0.7,33.736960937500044,50.0
USDIDR,5,mistral-7b,13,46,0.2222222222222222,3,0.576,0.7,45.46876093749997,25.0
USDIDR,5,mistral-7b,14,39,0.2222222222222222,2,0.484,0.7,72.73719999999994,0.0
USDIDR,5,mistral-7b,15,34,0.2222222222222222,3,0.454,0.7,96.76499999999979,0.0
USDIDR,5,mistral-7b,16,43,0.2222222222222222,3,0.608,0.7,81.30800000000018,25.0
USDIDR,5,mistral-7b,17,47,0.2222222222222222,3,0.532,0.7,52.15353906249984,25.0
USDIDR,5,mistral-7b,18,38,0.2222222222222222,4,0.528,0.7,39.08457812500019,50.0
USDIDR,5,mistral-7b,19,42,0.2222222222222222,3,0.602,0.7,34.13737812500003,75.0
