currency,horizon,model,config,news,prompt,rmse,mae,mape,da,n_windows
USDIDR,1,llama3-8b,baseline_llm,False,tsfl_zero,131.61631548070002,121.4476709374998,0.7222248489215914,66.66666666666666,10
USDIDR,1,llama3-8b,news_only,True,tsfl_zero,122.0997995751602,99.45826392578128,0.5909173097336179,44.44444444444444,10
USDIDR,1,llama3-8b,prompt_only,False,tsfl_few,105.08123159641715,85.67295281250009,0.5096685495148199,66.66666666666666,10
USDIDR,1,llama3-8b,full_model,True,tsfl_few,99.02119455474315,87.65942972656266,0.5210816841599213,55.55555555555556,10
USDIDR,5,llama3-8b,baseline_llm,False,tsfl_zero,130.54248524183575,107.87706460546885,0.6413262344972269,51.35135135135135,10
USDIDR,5,llama3-8b,news_only,True,tsfl_zero,148.40430376179975,124.67383732421884,0.741055174534731,51.35135135135135,10
USDIDR,5,llama3-8b,prompt_only,False,tsfl_few,109.67766936208405,91.18850193359394,0.5424524516309152,48.64864864864865,10
USDIDR,5,llama3-8b,full_model,True,tsfl_few,97.69548850477474,80.61437946875004,0.4799195148909479,64.86486486486487,10
USDIDR,10,llama3-8b,baseline_llm,False,tsfl_zero,126.55164646687825,103.40721692578133,0.6147292487469899,50.74626865671642,10
USDIDR,10,llama3-8b,news_only,True,tsfl_zero,150.43626714815542,120.316327359375,0.7153121395916453,53.73134328358209,10
USDIDR,10,llama3-8b,prompt_only,False,tsfl_few,113.66558940134821,94.17622219726586,0.5604236384986353,47.76119402985074,10
USDIDR,10,llama3-8b,full_model,True,tsfl_few,114.84265971572704,91.9938969609376,0.5477544644412138,43.28358208955223,10
USDEUR,1,llama3-8b,baseline_llm,False,tsfl_zero,0.01325544508137919,0.011247673760652532,1.3248273967009065,44.44444444444444,10
USDEUR,1,llama3-8b,news_only,True,tsfl_zero,0.015980277156150503,0.01283142619729043,1.5063280957302976,33.33333333333333,10
USDEUR,1,llama3-8b,prompt_only,False,tsfl_few,0.013168843248762703,0.009169229994416217,1.0837676980108764,33.33333333333333,10
USDEUR,1,llama3-8b,full_model,True,tsfl_few,0.00848499300972319,0.0068057220053672875,0.8009089055674731,55.55555555555556,10
USDEUR,5,llama3-8b,baseline_llm,False,tsfl_zero,0.012266254322037536,0.009753217003345487,1.147305440854234,64.86486486486487,10
USDEUR,5,llama3-8b,news_only,True,tsfl_zero,0.013524698107561241,0.011034685657262802,1.297872289807856,56.75675675675676,10
USDEUR,5,llama3-8b,prompt_only,False,tsfl_few,0.011772870087087536,0.008840420266032219,1.040757065013549,64.86486486486487,10
USDEUR,5,llama3-8b,full_model,True,tsfl_few,0.010911957559909057,0.008632354551553732,1.0164538279545379,59.45945945945946,10
USDEUR,10,llama3-8b,baseline_llm,False,tsfl_zero,0.014575302655508972,0.012495339079558847,1.4654319471282646,52.94117647058824,10
USDEUR,10,llama3-8b,news_only,True,tsfl_zero,0.01738848853005377,0.015232183248400685,1.78863894622362,61.76470588235294,10
USDEUR,10,llama3-8b,prompt_only,False,tsfl_few,0.01065331976699789,0.008901009650468824,1.047058975269222,42.64705882352941,10
USDEUR,10,llama3-8b,full_model,True,tsfl_few,0.013175528248356407,0.01121281376004219,1.3192306546658663,52.94117647058824,10
USDSGD,1,llama3-8b,baseline_llm,False,tsfl_zero,0.009497031732403021,0.007518386409282684,0.5892348199124302,66.66666666666666,10
USDSGD,1,llama3-8b,news_only,True,tsfl_zero,0.011551462354903305,0.010300826798677498,0.8070357395417498,55.55555555555556,10
USDSGD,1,llama3-8b,prompt_only,False,tsfl_few,0.0079717590989899,0.006365138560533534,0.5001526803624172,66.66666666666666,10
USDSGD,1,llama3-8b,full_model,True,tsfl_few,0.00958328730161746,0.007100577630996763,0.557868095372069,66.66666666666666,10
USDSGD,5,llama3-8b,baseline_llm,False,tsfl_zero,0.014088813512526659,0.011539089617490813,0.905561913434644,45.94594594594595,10
USDSGD,5,llama3-8b,news_only,True,tsfl_zero,0.01286962623096876,0.01089441874790197,0.8544693515370981,56.75675675675676,10
USDSGD,5,llama3-8b,prompt_only,False,tsfl_few,0.011738689017118824,0.009341631606102076,0.7335278381688957,59.45945945945946,10
USDSGD,5,llama3-8b,full_model,True,tsfl_few,0.011788914003003493,0.009272272627353733,0.7278190059851866,56.75675675675676,10
USDSGD,10,llama3-8b,baseline_llm,False,tsfl_zero,0.015620624480385982,0.013303343866586778,1.0429231231300724,51.470588235294116,10
USDSGD,10,llama3-8b,news_only,True,tsfl_zero,0.015285102464895074,0.013108813589692214,1.0276940327831525,50.0,10
USDSGD,10,llama3-8b,prompt_only,False,tsfl_few,0.014875663960025058,0.01219056389355666,0.9579173299298718,35.294117647058826,10
USDSGD,10,llama3-8b,full_model,True,tsfl_few,0.015427327095696374,0.011889339102864353,0.9348299238242864,45.588235294117645,10
USDTWD,1,llama3-8b,baseline_llm,False,tsfl_zero,0.28575382751851486,0.2378553237342814,0.7532265696698863,66.66666666666666,10
USDTWD,1,llama3-8b,news_only,True,tsfl_zero,0.3749595983213527,0.28642835884093965,0.908443182069188,44.44444444444444,10
USDTWD,1,llama3-8b,prompt_only,False,tsfl_few,0.2948025071582311,0.24427430259704722,0.7748922014925852,55.55555555555556,10
USDTWD,1,llama3-8b,full_model,True,tsfl_few,0.21934817235731174,0.17167090963363557,0.5449309900091409,77.77777777777779,10
USDTWD,5,llama3-8b,baseline_llm,False,tsfl_zero,0.30870041932696685,0.25994617672729403,0.8236528071699842,37.83783783783784,10
