currency,horizon,model,window_idx,explanation_len,news_grounding_rate,n_factors_cited,coherence_score,confidence_score,abs_pred_error,directional_accuracy
USDAUD,5,llama3-8b,0,42,0.2,4,0.702,0.7,0.009596185150146352,25.0
USDAUD,5,llama3-8b,1,34,0.2,2,0.654,0.7,0.014102592315673724,50.0
USDAUD,5,llama3-8b,2,34,0.2,2,0.504,0.7,0.0052680156707764604,25.0
USDAUD,5,llama3-8b,3,35,0.2,2,0.51,0.7,0.003245963592529222,25.0
USDAUD,5,llama3-8b,4,59,0.4,3,0.75,0.5,0.004480378036498989,50.0
USDAUD,5,llama3-8b,5,34,0.2,2,0.504,0.7,0.006560387458801298,50.0
USDAUD,5,llama3-8b,6,36,0.2,2,0.416,0.7,0.0071656034851073965,50.0
USDAUD,5,llama3-8b,7,63,0.4,3,0.65,0.5,0.001276412849426256,50.0
USDAUD,5,llama3-8b,8,36,0.2,2,0.516,0.7,0.0024764152145385853,25.0
USDAUD,5,llama3-8b,9,34,0.2,2,0.504,0.7,0.002928003311157257,25.0
USDAUD,5,llama3-8b,10,34,0.2,2,0.504,0.7,0.004175803527832045,25.0
USDAUD,5,llama3-8b,11,35,0.2,2,0.51,0.7,0.007215397796630896,25.0
USDAUD,5,llama3-8b,12,34,0.2,2,0.504,0.7,0.011119402465820282,25.0
USDAUD,5,llama3-8b,13,45,0.2,5,0.77,0.7,0.01250579822540283,0.0
USDAUD,5,llama3-8b,14,67,0.5,5,0.8,0.5,0.023699405632019045,0.0
USDAUD,5,llama3-8b,15,74,0.4,3,0.65,0.5,0.02000760951995848,25.0
USDAUD,5,llama3-8b,16,34,0.2,2,0.504,0.7,0.008867026672363299,25.0
USDAUD,5,llama3-8b,17,39,0.2,3,0.584,0.7,0.006415632286071782,25.0
USDAUD,5,llama3-8b,18,34,0.2,2,0.504,0.7,0.0075314249038696875,50.0
USDAUD,5,llama3-8b,19,42,0.2,3,0.502,0.7,0.007869428977966253,25.0
USDAUD,5,qwen2.5-7b,0,46,0.2,0,0.476,0.7,0.009596185150146352,25.0
USDAUD,5,qwen2.5-7b,1,66,0.2,2,0.6,0.7,0.014102592315673724,50.0
USDAUD,5,qwen2.5-7b,2,52,0.2,0,0.5,0.7,0.0052680156707764604,25.0
USDAUD,5,qwen2.5-7b,3,69,0.2,2,0.6,0.7,0.003245963592529222,25.0
USDAUD,5,qwen2.5-7b,4,57,0.2,2,0.55,0.7,0.004480378036498989,50.0
USDAUD,5,qwen2.5-7b,5,69,0.2,2,0.6,0.7,0.006560387458801298,50.0
USDAUD,5,qwen2.5-7b,6,54,0.2,1,0.45,0.7,0.0071656034851073965,50.0
USDAUD,5,qwen2.5-7b,7,68,0.2,1,0.5,0.7,0.001276412849426256,50.0
USDAUD,5,qwen2.5-7b,8,69,0.2,2,0.6,0.7,0.0024764152145385853,25.0
USDAUD,5,qwen2.5-7b,9,56,0.2,1,0.45,0.7,0.002928003311157257,25.0
USDAUD,5,qwen2.5-7b,10,57,0.2,2,0.55,0.7,0.004175803527832045,25.0
USDAUD,5,qwen2.5-7b,11,70,0.2,1,0.5,0.7,0.007215397796630896,25.0
USDAUD,5,qwen2.5-7b,12,56,0.2,3,0.6,0.7,0.011119402465820282,25.0
USDAUD,5,qwen2.5-7b,13,57,0.2,2,0.55,0.7,0.01250579822540283,0.0
USDAUD,5,qwen2.5-7b,14,66,0.2,2,0.6,0.7,0.023699405632019045,0.0
USDAUD,5,qwen2.5-7b,15,57,0.2,2,0.55,0.7,0.02000760951995848,25.0
USDAUD,5,qwen2.5-7b,16,68,0.2,1,0.5,0.7,0.008867026672363299,25.0
USDAUD,5,qwen2.5-7b,17,57,0.2,3,0.6,0.7,0.006875632286071775,25.0
USDAUD,5,qwen2.5-7b,18,64,0.2,2,0.5,0.7,0.007631424903869632,50.0
USDAUD,5,qwen2.5-7b,19,67,0.2,1,0.5,0.7,0.007809428977966304,25.0
USDAUD,5,mistral-7b,0,57,0.2,2,0.6,0.7,0.009596185150146352,25.0
USDAUD,5,mistral-7b,1,78,0.2,2,0.65,0.7,0.014102592315673724,50.0
