currency,horizon,model,window_idx,news_grounding_rate,explanation_len,coherence_score,factor_types,n_factors_cited,confidence_score
USDAUD,1,llama3-8b,0,0.2,41,0.596,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDAUD,1,llama3-8b,1,0.2,36,0.516,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,1,llama3-8b,2,0.4,60,0.65,"[""risk_sentiment"", ""commodity""]",2,0.5
USDAUD,1,llama3-8b,3,0.4,55,0.75,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.5
USDAUD,1,llama3-8b,4,0.4,56,0.75,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.5
USDAUD,1,llama3-8b,5,0.4,64,0.65,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.5
USDAUD,1,llama3-8b,6,0.2,34,0.504,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,1,llama3-8b,7,0.2,33,0.498,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,1,llama3-8b,8,0.4,56,0.75,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.5
USDAUD,1,llama3-8b,9,0.2,37,0.422,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,1,llama3-8b,10,0.4,58,0.65,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.5
USDAUD,1,llama3-8b,11,0.2,34,0.504,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,1,llama3-8b,12,0.2,35,0.51,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,1,llama3-8b,13,0.4,58,0.65,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.5
USDAUD,1,llama3-8b,14,0.4,59,0.65,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.5
USDAUD,1,llama3-8b,15,0.2,41,0.746,"[""monetary_policy"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",4,0.7
USDAUD,1,llama3-8b,16,0.4,55,0.75,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.5
USDAUD,1,llama3-8b,17,0.2,34,0.504,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,1,llama3-8b,18,0.4,55,0.75,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.5
USDAUD,1,llama3-8b,19,0.4,64,0.65,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.5
USDAUD,1,qwen2.5-7b,0,0.2,53,0.55,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,1,qwen2.5-7b,1,0.2,53,0.55,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,1,qwen2.5-7b,2,0.2,64,0.55,"[""risk_sentiment""]",1,0.7
USDAUD,1,qwen2.5-7b,3,0.2,63,0.5,"[""risk_sentiment""]",1,0.7
USDAUD,1,qwen2.5-7b,4,0.2,54,0.5,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,1,qwen2.5-7b,5,0.2,53,0.45,"[""risk_sentiment""]",1,0.7
USDAUD,1,qwen2.5-7b,6,0.2,53,0.55,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,1,qwen2.5-7b,7,0.2,63,0.5,"[""risk_sentiment""]",1,0.7
USDAUD,1,qwen2.5-7b,8,0.2,63,0.5,"[""risk_sentiment""]",1,0.7
USDAUD,1,qwen2.5-7b,9,0.2,52,0.55,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,1,qwen2.5-7b,10,0.2,66,0.6,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,1,qwen2.5-7b,11,0.2,52,0.55,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,1,qwen2.5-7b,12,0.2,66,0.6,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,1,qwen2.5-7b,13,0.2,52,0.55,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,1,qwen2.5-7b,14,0.2,66,0.6,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,1,qwen2.5-7b,15,0.2,52,0.55,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,1,qwen2.5-7b,16,0.2,49,0.444,"[""risk_sentiment""]",1,0.7
USDAUD,1,qwen2.5-7b,17,0.2,52,0.45,"[""commodity""]",1,0.7
USDAUD,1,qwen2.5-7b,18,0.2,66,0.55,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,1,qwen2.5-7b,19,0.2,61,0.5,"[""risk_sentiment""]",1,0.7
USDAUD,1,mistral-7b,0,0.2,72,0.65,"[""risk_sentiment""]",1,0.7
USDAUD,1,mistral-7b,1,0.2,56,0.55,"[""risk_sentiment""]",1,0.75
USDAUD,1,mistral-7b,2,0.2,56,0.45,"[""monetary_policy""]",1,0.7
USDAUD,1,mistral-7b,3,0.2,60,0.6,"[""risk_sentiment"", ""commodity""]",2,0.7
USDAUD,1,mistral-7b,4,0.2,60,0.7,"[""monetary_policy"", ""risk_sentiment""]",2,0.7
USDAUD,1,mistral-7b,5,0.2,64,0.55,"[""risk_sentiment""]",1,0.7
USDAUD,1,mistral-7b,6,0.2,52,0.6,"[""risk_sentiment"", ""commodity""]",2,0.7
USDAUD,1,mistral-7b,7,0.2,58,0.55,"[""risk_sentiment""]",1,0.7
USDAUD,1,mistral-7b,8,0.2,59,0.55,"[""monetary_policy""]",1,0.7
USDAUD,1,mistral-7b,9,0.2,40,0.49,"[""monetary_policy"", ""risk_sentiment""]",2,0.75
USDAUD,1,mistral-7b,10,0.2,66,0.55,"[""risk_sentiment""]",1,0.7
USDAUD,1,mistral-7b,11,0.2,33,0.398,"[""risk_sentiment""]",1,0.7
USDAUD,1,mistral-7b,12,0.2,32,0.392,"[""risk_sentiment""]",1,0.75
USDAUD,1,mistral-7b,13,0.2,50,0.5,"[""monetary_policy"", ""market_technical""]",2,0.7
