type,model,config,currency,horizon,window,window_rmse,window_da
llm,llama3-8b,prompt_only,USDIDR,1,13,164.35799062500155,0.0
llm,llama3-8b,prompt_only,USDIDR,1,14,43.79040820312366,100.0
llm,llama3-8b,prompt_only,USDIDR,1,15,138.69376035156165,0.0
llm,llama3-8b,prompt_only,USDIDR,1,16,192.7661999999982,0.0
llm,llama3-8b,prompt_only,USDIDR,1,17,541.0136634765622,0.0
llm,llama3-8b,prompt_only,USDIDR,1,18,480.4065769531244,0.0
llm,llama3-8b,prompt_only,USDIDR,1,19,62.776910546876024,0.0
llm,llama3-8b,prompt_only,USDIDR,1,20,83.36281874999986,0.0
llm,llama3-8b,prompt_only,USDIDR,1,21,111.3744000000006,100.0
llm,llama3-8b,prompt_only,USDIDR,1,22,181.15707246093734,0.0
llm,llama3-8b,prompt_only,USDIDR,1,23,138.04839374999938,0.0
llm,llama3-8b,prompt_only,USDIDR,1,24,226.16875878906285,100.0
llm,llama3-8b,prompt_only,USDIDR,1,25,114.83012695312573,0.0
llm,llama3-8b,prompt_only,USDIDR,1,26,139.37004394531323,0.0
llm,llama3-8b,prompt_only,USDIDR,1,27,106.18304882812663,0.0
llm,llama3-8b,prompt_only,USDIDR,1,28,5.191226171875314,100.0
llm,llama3-8b,prompt_only,USDIDR,1,29,77.73761640625162,0.0
llm,llama3-8b,full_model,USDIDR,1,0,26.04893046875077,100.0
llm,llama3-8b,full_model,USDIDR,1,1,104.55738828124959,0.0
llm,llama3-8b,full_model,USDIDR,1,2,252.51950000000033,100.0
llm,llama3-8b,full_model,USDIDR,1,3,86.21969531250033,100.0
llm,llama3-8b,full_model,USDIDR,1,4,104.51950000000033,0.0
llm,llama3-8b,full_model,USDIDR,1,5,31.593190625000716,100.0
llm,llama3-8b,full_model,USDIDR,1,6,20.709500000000844,0.0
llm,llama3-8b,full_model,USDIDR,1,7,39.88500468749953,100.0
llm,llama3-8b,full_model,USDIDR,1,8,205.41779531249995,0.0
llm,llama3-8b,full_model,USDIDR,1,9,293.8804187500009,100.0
llm,llama3-8b,full_model,USDIDR,1,10,77.40240937499948,100.0
llm,llama3-8b,full_model,USDIDR,1,11,67.96881054687401,0.0
llm,llama3-8b,full_model,USDIDR,1,12,13.929100000001199,100.0
llm,llama3-8b,full_model,USDIDR,1,13,164.35799062500155,0.0
llm,llama3-8b,full_model,USDIDR,1,14,24.859322265623632,100.0
llm,llama3-8b,full_model,USDIDR,1,15,186.07791289062516,0.0
llm,llama3-8b,full_model,USDIDR,1,16,192.7661999999982,0.0
llm,llama3-8b,full_model,USDIDR,1,17,377.1226847656253,0.0
llm,llama3-8b,full_model,USDIDR,1,18,373.93338632812447,0.0
llm,llama3-8b,full_model,USDIDR,1,19,8.093870507811516,100.0
llm,llama3-8b,full_model,USDIDR,1,20,76.70461874999819,0.0
llm,llama3-8b,full_model,USDIDR,1,21,88.91679999999906,100.0
llm,llama3-8b,full_model,USDIDR,1,22,181.35793203124922,0.0
llm,llama3-8b,full_model,USDIDR,1,23,139.52469648437545,0.0
llm,llama3-8b,full_model,USDIDR,1,24,55.6197343749991,0.0
llm,llama3-8b,full_model,USDIDR,1,25,65.17045898437573,0.0
llm,llama3-8b,full_model,USDIDR,1,26,62.682958984376455,100.0
llm,llama3-8b,full_model,USDIDR,1,27,103.67190703125016,0.0
llm,llama3-8b,full_model,USDIDR,1,28,5.9074929687485565,100.0
llm,llama3-8b,full_model,USDIDR,1,29,15.568302343748655,0.0
llm,llama3-8b,baseline_llm,USDIDR,5,0,227.22472241089054,66.66666666666666
llm,llama3-8b,baseline_llm,USDIDR,5,1,469.26668278131746,50.0
llm,llama3-8b,baseline_llm,USDIDR,5,2,97.90970006015976,66.66666666666666
llm,llama3-8b,baseline_llm,USDIDR,5,3,575.5026134197243,40.0
llm,llama3-8b,baseline_llm,USDIDR,5,4,119.62477209409856,0.0
llm,llama3-8b,baseline_llm,USDIDR,5,5,128.51127714955106,100.0
llm,llama3-8b,baseline_llm,USDIDR,5,6,191.88769738465723,33.33333333333333
llm,llama3-8b,baseline_llm,USDIDR,5,7,97.3083572924862,66.66666666666666
llm,llama3-8b,baseline_llm,USDIDR,5,8,221.50659583993686,50.0
llm,llama3-8b,baseline_llm,USDIDR,5,9,109.05365840079482,66.66666666666666
llm,llama3-8b,baseline_llm,USDIDR,5,10,166.90869404495518,40.0
llm,llama3-8b,baseline_llm,USDIDR,5,11,225.2178531881366,33.33333333333333
llm,llama3-8b,baseline_llm,USDIDR,5,12,240.1289020039446,100.0
llm,llama3-8b,baseline_llm,USDIDR,5,13,161.4883244772545,66.66666666666666
llm,llama3-8b,baseline_llm,USDIDR,5,14,125.12165856530127,66.66666666666666
llm,llama3-8b,baseline_llm,USDIDR,5,15,409.3763855871487,50.0
