currency,horizon,model,window_idx,explanation_len,news_grounding_rate,n_factors_cited,coherence_score,confidence_score,abs_pred_error,directional_accuracy
USDTWD,5,llama3-8b,0,62,0.3,1,0.55,0.5,0.11458055175781254,50.0
USDTWD,5,llama3-8b,1,57,0.4,3,0.7,0.5,0.09530030883789067,75.0
USDTWD,5,llama3-8b,2,59,0.4,3,0.65,0.5,0.07631983154296904,75.0
USDTWD,5,llama3-8b,3,62,0.3,1,0.55,0.5,0.10381979064941405,75.0
USDTWD,5,llama3-8b,4,54,0.4,3,0.65,0.5,0.15460050659179672,50.0
USDTWD,5,llama3-8b,5,62,0.3,1,0.55,0.5,0.056860567016600784,25.0
USDTWD,5,llama3-8b,6,58,0.3,3,0.7,0.5,0.07735997131347574,25.0
USDTWD,5,llama3-8b,7,56,0.7,2,0.7,0.5,0.1093195306396467,50.0
USDTWD,5,llama3-8b,8,62,0.3,1,0.55,0.5,0.11919959655761544,50.0
USDTWD,5,llama3-8b,9,63,0.3,1,0.55,0.5,0.1132196771240217,75.0
USDTWD,5,llama3-8b,10,62,0.3,1,0.55,0.5,0.04213995483398421,50.0
USDTWD,5,llama3-8b,11,54,0.4,3,0.65,0.5,0.08069942382812342,25.0
USDTWD,5,llama3-8b,12,57,0.7,2,0.7,0.5,0.0903400317382804,50.0
USDTWD,5,llama3-8b,13,58,0.4,3,0.65,0.5,0.029919815673827087,25.0
USDTWD,5,llama3-8b,14,57,0.7,2,0.7,0.5,0.09488026916503856,25.0
USDTWD,5,llama3-8b,15,63,0.3,1,0.55,0.5,0.06788060485839793,50.0
USDTWD,5,llama3-8b,16,54,0.4,3,0.65,0.5,0.0542992547607426,50.0
USDTWD,5,llama3-8b,17,56,0.7,2,0.7,0.5,0.07332085754394768,50.0
USDTWD,5,llama3-8b,18,62,0.3,1,0.55,0.5,0.05447950622558721,50.0
USDTWD,5,llama3-8b,19,62,0.3,1,0.55,0.5,0.15999930419921995,50.0
USDTWD,5,qwen2.5-7b,0,35,0.2,2,0.46,0.7,0.11458055175781254,50.0
USDTWD,5,qwen2.5-7b,1,35,0.2,2,0.46,0.7,0.09530030883789067,75.0
USDTWD,5,qwen2.5-7b,2,38,0.2,1,0.378,0.7,0.07631983154296904,75.0
USDTWD,5,qwen2.5-7b,3,37,0.2,1,0.372,0.7,0.10381979064941405,75.0
USDTWD,5,qwen2.5-7b,4,35,0.2,3,0.51,0.7,0.15460050659179672,50.0
USDTWD,5,qwen2.5-7b,5,47,0.2,2,0.482,0.7,0.056860567016600784,25.0
USDTWD,5,qwen2.5-7b,6,37,0.2,2,0.422,0.7,0.07735997131347574,25.0
USDTWD,5,qwen2.5-7b,7,38,0.2,1,0.378,0.7,0.1093195306396467,50.0
USDTWD,5,qwen2.5-7b,8,39,0.2,2,0.484,0.7,0.11919959655761544,50.0
USDTWD,5,qwen2.5-7b,9,32,0.2,0,0.292,0.7,0.1132196771240217,75.0
USDTWD,5,qwen2.5-7b,10,38,0.2,0,0.328,0.7,0.04213995483398421,50.0
USDTWD,5,qwen2.5-7b,11,39,0.2,1,0.384,0.7,0.08069942382812342,25.0
USDTWD,5,qwen2.5-7b,12,40,0.2,3,0.54,0.7,0.0903400317382804,50.0
USDTWD,5,qwen2.5-7b,13,37,0.2,2,0.422,0.7,0.029919815673827087,25.0
USDTWD,5,qwen2.5-7b,14,38,0.2,2,0.428,0.7,0.09488026916503856,25.0
USDTWD,5,qwen2.5-7b,15,32,0.2,2,0.392,0.7,0.06788060485839793,50.0
