currency,horizon,model,window_idx,explanation_len,news_grounding_rate,n_factors_cited,coherence_score,confidence_score,abs_pred_error,directional_accuracy
USDAUD,10,llama3-8b,0,64,0.4,3,0.75,0.5,0.007393890361785815,44.44444444444444
USDAUD,10,llama3-8b,1,64,0.4,3,0.75,0.5,0.013214097900390586,44.44444444444444
USDAUD,10,llama3-8b,2,70,0.4,4,0.7,0.5,0.0053402075767517545,33.33333333333333
USDAUD,10,llama3-8b,3,38,0.2,3,0.478,0.7,0.002921189403533875,33.33333333333333
USDAUD,10,llama3-8b,4,68,0.4,3,0.65,0.5,0.003984192390441854,44.44444444444444
USDAUD,10,llama3-8b,5,66,0.4,2,0.7,0.5,0.005028096637725854,33.33333333333333
USDAUD,10,llama3-8b,6,66,0.4,2,0.65,0.5,0.010694504661560056,33.33333333333333
USDAUD,10,llama3-8b,7,70,0.4,4,0.7,0.5,0.006937907657623277,33.33333333333333
USDAUD,10,llama3-8b,8,67,0.4,3,0.65,0.5,0.009108906364440927,22.22222222222222
USDAUD,10,llama3-8b,9,36,0.2,2,0.416,0.7,0.013103704471588151,11.11111111111111
USDAUD,10,llama3-8b,10,69,0.4,4,0.7,0.5,0.015641706523895273,22.22222222222222
USDAUD,10,llama3-8b,11,69,0.4,4,0.7,0.5,0.017991212234497088,22.22222222222222
USDAUD,10,llama3-8b,12,66,0.4,2,0.65,0.5,0.02087751737594603,22.22222222222222
USDAUD,10,llama3-8b,13,38,0.2,3,0.478,0.7,0.017782811317443838,22.22222222222222
USDAUD,10,llama3-8b,14,69,0.4,4,0.7,0.5,0.02764660888671875,22.22222222222222
USDAUD,10,llama3-8b,15,79,0.4,3,0.65,0.5,0.021951704978942877,22.22222222222222
USDAUD,10,llama3-8b,16,38,0.2,3,0.478,0.7,0.009212707824707156,22.22222222222222
USDAUD,10,llama3-8b,17,64,0.4,3,0.75,0.5,0.005693709659576496,33.33333333333333
USDAUD,10,llama3-8b,18,69,0.4,4,0.7,0.5,0.00725690952301028,44.44444444444444
USDAUD,10,llama3-8b,19,79,0.4,3,0.65,0.5,0.010235016460418644,44.44444444444444
USDAUD,10,qwen2.5-7b,0,55,0.2,2,0.55,0.7,0.007393890361785815,44.44444444444444
USDAUD,10,qwen2.5-7b,1,52,0.3,2,0.5,0.7,0.013214097900390586,44.44444444444444
USDAUD,10,qwen2.5-7b,2,47,0.2,2,0.482,0.7,0.0053402075767517545,33.33333333333333
USDAUD,10,qwen2.5-7b,3,47,0.2,2,0.482,0.7,0.002921189403533875,33.33333333333333
USDAUD,10,qwen2.5-7b,4,57,0.2,3,0.6,0.7,0.003984192390441854,44.44444444444444
USDAUD,10,qwen2.5-7b,5,46,0.2,0,0.376,0.7,0.005028096637725854,33.33333333333333
USDAUD,10,qwen2.5-7b,6,44,0.2,2,0.564,0.7,0.010694504661560056,33.33333333333333
USDAUD,10,qwen2.5-7b,7,55,0.2,3,0.6,0.7,0.006937907657623277,33.33333333333333
USDAUD,10,qwen2.5-7b,8,55,0.2,2,0.55,0.7,0.009108906364440927,22.22222222222222
USDAUD,10,qwen2.5-7b,9,55,0.2,2,0.55,0.7,0.013103704471588151,11.11111111111111
USDAUD,10,qwen2.5-7b,10,54,0.3,2,0.6,0.7,0.015641706523895273,22.22222222222222
USDAUD,10,qwen2.5-7b,11,54,0.2,1,0.45,0.7,0.017991212234497088,22.22222222222222
USDAUD,10,qwen2.5-7b,12,52,0.2,1,0.45,0.7,0.02087751737594603,22.22222222222222
USDAUD,10,qwen2.5-7b,13,54,0.2,3,0.6,0.7,0.017782811317443838,22.22222222222222
USDAUD,10,qwen2.5-7b,14,49,0.2,2,0.544,0.7,0.02764660888671875,22.22222222222222
USDAUD,10,qwen2.5-7b,15,49,0.2,2,0.544,0.7,0.021951704978942877,22.22222222222222
USDAUD,10,qwen2.5-7b,16,49,0.2,3,0.544,0.7,0.009212707824707156,22.22222222222222
USDAUD,10,qwen2.5-7b,17,55,0.2,2,0.55,0.7,0.005693709659576496,33.33333333333333
USDAUD,10,qwen2.5-7b,18,47,0.2,2,0.482,0.7,0.00725690952301028,44.44444444444444
USDAUD,10,qwen2.5-7b,19,53,0.2,2,0.55,0.7,0.010235016460418644,44.44444444444444
USDAUD,10,mistral-7b,0,61,0.2,2,0.6,0.7,0.007393890361785815,44.44444444444444
USDAUD,10,mistral-7b,1,61,0.2,2,0.6,0.7,0.013214097900390586,44.44444444444444
USDAUD,10,mistral-7b,2,44,0.2,3,0.564,0.7,0.0053402075767517545,33.33333333333333
USDAUD,10,mistral-7b,3,54,0.2,3,0.65,0.7,0.002921189403533875,33.33333333333333
USDAUD,10,mistral-7b,4,51,0.2,2,0.6,0.7,0.003984192390441854,44.44444444444444
USDAUD,10,mistral-7b,5,43,0.2,3,0.558,0.7,0.005028096637725854,33.33333333333333
USDAUD,10,mistral-7b,6,59,0.2,3,0.6,0.7,0.010694504661560056,33.33333333333333
USDAUD,10,mistral-7b,7,63,0.2,3,0.65,0.7,0.006937907657623277,33.33333333333333
USDAUD,10,mistral-7b,8,63,0.2,3,0.65,0.7,0.009108906364440927,22.22222222222222
USDAUD,10,mistral-7b,9,60,0.2,2,0.6,0.7,0.013103704471588151,11.11111111111111
USDAUD,10,mistral-7b,10,57,0.2,2,0.6,0.7,0.015641706523895273,22.22222222222222
USDAUD,10,mistral-7b,11,61,0.2,2,0.6,0.7,0.017991212234497088,22.22222222222222
USDAUD,10,mistral-7b,12,52,0.2,3,0.6,0.7,0.02087751737594603,22.22222222222222
USDAUD,10,mistral-7b,13,61,0.2,2,0.6,0.7,0.017782811317443838,22.22222222222222
USDAUD,10,mistral-7b,14,47,0.2,3,0.582,0.7,0.02764660888671875,22.22222222222222
USDAUD,10,mistral-7b,15,56,0.2,2,0.6,0.7,0.021951704978942877,22.22222222222222
USDAUD,10,mistral-7b,16,56,0.2,2,0.6,0.7,0.009212707824707156,22.22222222222222
USDAUD,10,mistral-7b,17,52,0.2,2,0.6,0.7,0.005693709659576496,33.33333333333333
USDAUD,10,mistral-7b,18,51,0.2,3,0.6,0.7,0.00725690952301028,44.44444444444444
USDAUD,10,mistral-7b,19,64,0.2,2,0.65,0.7,0.010235016460418644,44.44444444444444
