currency,horizon,model,window_idx,news_grounding_rate,explanation_len,coherence_score,factor_types,n_factors_cited,confidence_score
USDAUD,5,llama3-8b,0,0.2,42,0.702,"[""monetary_policy"", ""trade_balance"", ""risk_sentiment"", ""market_technical""]",4,0.7
USDAUD,5,llama3-8b,1,0.2,34,0.654,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,llama3-8b,2,0.2,34,0.504,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,llama3-8b,3,0.2,35,0.51,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,llama3-8b,4,0.4,59,0.75,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.5
USDAUD,5,llama3-8b,5,0.2,34,0.504,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,llama3-8b,6,0.2,36,0.416,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,llama3-8b,7,0.4,63,0.65,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.5
USDAUD,5,llama3-8b,8,0.2,36,0.516,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,llama3-8b,9,0.2,34,0.504,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,llama3-8b,10,0.2,34,0.504,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,llama3-8b,11,0.2,35,0.51,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,llama3-8b,12,0.2,34,0.504,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,llama3-8b,13,0.2,45,0.77,"[""monetary_policy"", ""trade_balance"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.7
USDAUD,5,llama3-8b,14,0.5,67,0.8,"[""monetary_policy"", ""trade_balance"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,5,llama3-8b,15,0.4,74,0.65,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.5
USDAUD,5,llama3-8b,16,0.2,34,0.504,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,llama3-8b,17,0.2,39,0.584,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDAUD,5,llama3-8b,18,0.2,34,0.504,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,llama3-8b,19,0.2,42,0.502,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.7
USDAUD,5,qwen2.5-7b,0,0.2,46,0.476,[],0,0.7
USDAUD,5,qwen2.5-7b,1,0.2,66,0.6,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,qwen2.5-7b,2,0.2,52,0.5,[],0,0.7
USDAUD,5,qwen2.5-7b,3,0.2,69,0.6,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,qwen2.5-7b,4,0.2,57,0.55,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,qwen2.5-7b,5,0.2,69,0.6,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,qwen2.5-7b,6,0.2,54,0.45,"[""market_technical""]",1,0.7
USDAUD,5,qwen2.5-7b,7,0.2,68,0.5,"[""risk_sentiment""]",1,0.7
USDAUD,5,qwen2.5-7b,8,0.2,69,0.6,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,qwen2.5-7b,9,0.2,56,0.45,"[""risk_sentiment""]",1,0.7
USDAUD,5,qwen2.5-7b,10,0.2,57,0.55,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,qwen2.5-7b,11,0.2,70,0.5,"[""risk_sentiment""]",1,0.7
USDAUD,5,qwen2.5-7b,12,0.2,56,0.6,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDAUD,5,qwen2.5-7b,13,0.2,57,0.55,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,qwen2.5-7b,14,0.2,66,0.6,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,qwen2.5-7b,15,0.2,57,0.55,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,qwen2.5-7b,16,0.2,68,0.5,"[""risk_sentiment""]",1,0.7
USDAUD,5,qwen2.5-7b,17,0.2,57,0.6,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDAUD,5,qwen2.5-7b,18,0.2,64,0.5,"[""market_technical"", ""commodity""]",2,0.7
USDAUD,5,qwen2.5-7b,19,0.2,67,0.5,"[""risk_sentiment""]",1,0.7
USDAUD,5,mistral-7b,0,0.2,57,0.6,"[""monetary_policy"", ""market_technical""]",2,0.7
USDAUD,5,mistral-7b,1,0.2,78,0.65,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,mistral-7b,2,0.2,66,0.65,"[""monetary_policy"", ""economic_growth"", ""market_technical""]",3,0.7
USDAUD,5,mistral-7b,3,0.2,66,0.65,"[""monetary_policy"", ""market_technical""]",2,0.7
USDAUD,5,mistral-7b,4,0.2,63,0.65,"[""risk_sentiment"", ""economic_growth"", ""market_technical""]",3,0.7
USDAUD,5,mistral-7b,5,0.2,72,0.65,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,mistral-7b,6,0.2,87,0.75,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.7
USDAUD,5,mistral-7b,7,0.2,65,0.65,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,mistral-7b,8,0.2,45,0.52,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,mistral-7b,9,0.2,78,0.65,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,mistral-7b,10,0.2,54,0.6,"[""monetary_policy"", ""market_technical""]",2,0.7
USDAUD,5,mistral-7b,11,0.2,58,0.6,"[""monetary_policy"", ""market_technical""]",2,0.7
USDAUD,5,mistral-7b,12,0.2,61,0.6,"[""monetary_policy"", ""market_technical""]",2,0.7
USDAUD,5,mistral-7b,13,0.2,61,0.6,"[""monetary_policy"", ""market_technical""]",2,0.7
USDAUD,5,mistral-7b,14,0.2,60,0.6,"[""monetary_policy"", ""market_technical""]",2,0.7
USDAUD,5,mistral-7b,15,0.2,63,0.7,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,mistral-7b,16,0.2,56,0.65,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,mistral-7b,17,0.2,59,0.6,"[""monetary_policy"", ""market_technical""]",2,0.7
USDAUD,5,mistral-7b,18,0.2,61,0.6,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDAUD,5,mistral-7b,19,0.2,63,0.7,"[""risk_sentiment"", ""market_technical""]",2,0.7
