currency,horizon,model,window_idx,explanation_len,news_grounding_rate,n_factors_cited,coherence_score,confidence_score,abs_pred_error,directional_accuracy
USDIDR,1,llama3-8b,0,38,0.2222222222222222,3,0.528,0.7,40.74300000000039,
USDIDR,1,llama3-8b,1,41,0.2222222222222222,4,0.646,0.7,46.71800000000076,
USDIDR,1,llama3-8b,2,39,0.2222222222222222,4,0.534,0.7,20.813000000000102,
USDIDR,1,llama3-8b,3,59,0.5555555555555556,4,0.7,0.5,15.723500000000058,
USDIDR,1,llama3-8b,4,38,0.2222222222222222,3,0.528,0.7,15.723500000000058,
USDIDR,1,llama3-8b,5,38,0.2222222222222222,3,0.528,0.7,63.37610937499994,
USDIDR,1,llama3-8b,6,38,0.2222222222222222,3,0.528,0.7,34.40220000000045,
USDIDR,1,llama3-8b,7,46,0.2222222222222222,4,0.626,0.8,18.0,
USDIDR,1,llama3-8b,8,38,0.2222222222222222,3,0.528,0.7,33.17200000000048,
USDIDR,1,llama3-8b,9,34,0.2222222222222222,4,0.554,0.8,35.344999999999345,
USDIDR,1,llama3-8b,10,35,0.2222222222222222,4,0.61,0.8,35.29999999999927,
USDIDR,1,llama3-8b,11,34,0.2222222222222222,4,0.554,0.8,35.344999999999345,
USDIDR,1,llama3-8b,12,36,0.2222222222222222,4,0.616,0.8,64.34499999999935,
USDIDR,1,llama3-8b,13,36,0.2222222222222222,4,0.616,0.7,81.95180468750004,
USDIDR,1,llama3-8b,14,38,0.2222222222222222,3,0.528,0.7,6.745600000000195,
USDIDR,1,llama3-8b,15,38,0.2222222222222222,3,0.528,0.7,34.95499999999993,
USDIDR,1,llama3-8b,16,38,0.2222222222222222,3,0.528,0.7,47.435999999999694,
USDIDR,1,llama3-8b,17,38,0.2222222222222222,3,0.528,0.7,15.904500000000553,
USDIDR,1,llama3-8b,18,38,0.2222222222222222,3,0.528,0.7,15.904500000000553,
USDIDR,1,llama3-8b,19,35,0.2222222222222222,4,0.61,0.7,39.40450000000055,
USDIDR,1,qwen2.5-7b,0,43,0.2222222222222222,4,0.558,0.7,40.74300000000039,
USDIDR,1,qwen2.5-7b,1,41,0.2222222222222222,4,0.546,0.7,46.71800000000076,
USDIDR,1,qwen2.5-7b,2,45,0.2222222222222222,5,0.62,0.7,20.813000000000102,
USDIDR,1,qwen2.5-7b,3,41,0.2222222222222222,4,0.546,0.7,15.723500000000058,
USDIDR,1,qwen2.5-7b,4,41,0.2222222222222222,4,0.546,0.7,15.723500000000058,
USDIDR,1,qwen2.5-7b,5,42,0.2222222222222222,5,0.652,0.7,63.37610937499994,
USDIDR,1,qwen2.5-7b,6,32,0.2222222222222222,4,0.492,0.7,34.40220000000045,
USDIDR,1,qwen2.5-7b,7,44,0.2222222222222222,5,0.614,0.7,28.0,
USDIDR,1,qwen2.5-7b,8,37,0.2222222222222222,5,0.572,0.7,33.17200000000048,
USDIDR,1,qwen2.5-7b,9,42,0.2222222222222222,4,0.552,0.7,15.877000000000407,
USDIDR,1,qwen2.5-7b,10,44,0.2222222222222222,5,0.614,0.7,23.0,
USDIDR,1,qwen2.5-7b,11,41,0.2222222222222222,4,0.546,0.7,15.877000000000407,
USDIDR,1,qwen2.5-7b,12,37,0.2222222222222222,4,0.522,0.7,44.87700000000041,
USDIDR,1,qwen2.5-7b,13,46,0.2222222222222222,5,0.626,0.7,81.95180468750004,
USDIDR,1,qwen2.5-7b,14,47,0.2222222222222222,5,0.632,0.7,6.745600000000195,
