date,open,high,low,close,adj_close,volume
2016-01-01,13775.0,13775.0,13775.0,13775.0,13775.0,0.0
2016-01-02,13775.0,13775.0,13775.0,13775.0,13775.0,0.0
2016-01-03,13775.0,13775.0,13775.0,13775.0,13775.0,0.0
2016-01-04,13845.0,13928.0,13815.0,13775.0,13775.0,0.0
2016-01-05,13930.0,13930.0,13750.0,13957.0,13957.0,0.0
2016-01-06,13800.0,13960.0,13795.0,13805.0,13805.0,0.0
2016-01-07,13800.0,13948.0,13735.0,13905.0,13905.0,0.0
2016-01-08,13898.0,13925.0,13760.0,13930.0,13930.0,0.0
2016-01-09,13898.0,13925.0,13760.0,13930.0,13930.0,0.0
2016-01-10,13898.0,13925.0,13760.0,13930.0,13930.0,0.0
2016-01-11,13928.0,13938.0,13680.0,13890.0,13890.0,0.0
2016-01-12,13848.0,13923.0,13620.0,13805.0,13805.0,0.0
2016-01-13,13855.0,13868.0,13760.0,13795.0,13795.0,0.0
2016-01-14,13868.0,13963.0,13750.0,13847.0,13847.0,0.0
2016-01-15,13855.0,13978.0,13813.0,13825.0,13825.0,0.0
2016-01-16,13855.0,13978.0,13813.0,13825.0,13825.0,0.0
2016-01-17,13855.0,13978.0,13813.0,13825.0,13825.0,0.0
2016-01-18,13910.0,13943.0,13792.0,13973.0,13973.0,0.0
2016-01-19,13870.0,13925.0,13750.0,13925.0,13925.0,0.0
2016-01-20,13855.0,13963.0,13780.0,13830.0,13830.0,0.0
2016-01-21,13905.0,13928.0,13824.0,13825.0,13825.0,0.0
2016-01-22,13873.0,13880.0,13764.0,13769.0,13769.0,0.0
2016-01-23,13873.0,13880.0,13764.0,13769.0,13769.0,0.0
2016-01-24,13873.0,13880.0,13764.0,13769.0,13769.0,0.0
2016-01-25,13830.0,13870.0,13805.0,13747.0,13747.0,0.0
2016-01-26,13923.0,13923.0,13775.0,13830.0,13830.0,0.0
2016-01-27,13858.0,13888.0,13805.0,13880.0,13880.0,0.0
2016-01-28,13873.0,13895.0,13760.0,13802.0,13802.0,0.0
2016-01-29,13780.0,13850.0,13560.0,13765.0,13765.0,0.0
2016-01-30,13780.0,13850.0,13560.0,13765.0,13765.0,0.0
2016-01-31,13780.0,13850.0,13560.0,13765.0,13765.0,0.0
2016-02-01,13728.0,13728.0,13545.0,13675.0,13675.0,0.0
2016-02-02,13628.0,13725.0,13570.0,13630.0,13630.0,0.0
2016-02-03,13700.0,13808.0,13647.0,13730.0,13730.0,0.0
2016-02-04,13640.0,13695.0,13480.0,13582.0,13582.0,0.0
2016-02-05,13640.0,13673.0,13402.0,13612.0,13612.0,0.0
2016-02-06,13640.0,13673.0,13402.0,13612.0,13612.0,0.0
2016-02-07,13640.0,13673.0,13402.0,13612.0,13612.0,0.0
2016-02-08,13585.0,13654.0,13509.0,13585.0,13585.0,0.0
2016-02-09,13625.0,13695.0,13485.0,13676.0,13676.0,0.0
2016-02-10,13590.0,13590.0,13363.0,13560.0,13560.0,0.0
2016-02-11,13330.0,13483.0,13308.0,13455.0,13455.0,0.0
2016-02-12,13438.0,13505.0,13380.0,13480.0,13480.0,0.0
2016-02-13,13438.0,13505.0,13380.0,13480.0,13480.0,0.0
2016-02-14,13438.0,13505.0,13380.0,13480.0,13480.0,0.0
2016-02-15,13478.0,13480.0,13285.0,13465.0,13465.0,0.0
2016-02-16,13280.0,13490.0,13265.0,13275.0,13275.0,0.0
2016-02-17,13448.0,13518.0,13380.0,13397.0,13397.0,0.0
2016-02-18,13455.0,13488.0,13350.0,13500.0,13500.0,0.0
2016-02-19,13485.0,13560.0,13430.0,13415.0,13415.0,0.0
2016-02-20,13485.0,13560.0,13430.0,13415.0,13415.0,0.0
2016-02-21,13485.0,13560.0,13430.0,13415.0,13415.0,0.0
2016-02-22,13440.0,13463.0,13345.0,13427.0,13427.0,0.0
2016-02-23,13403.0,13438.0,13310.0,13385.0,13385.0,0.0
2016-02-24,13443.0,13443.0,13370.0,13410.0,13410.0,0.0
2016-02-25,13370.0,13435.0,13358.0,13385.0,13385.0,0.0
2016-02-26,13348.0,13407.0,13330.0,13430.0,13430.0,0.0
2016-02-27,13348.0,13407.0,13330.0,13430.0,13430.0,0.0
2016-02-28,13348.0,13407.0,13330.0,13430.0,13430.0,0.0
2016-02-29,13395.0,13398.0,13265.0,13425.0,13425.0,0.0
2016-03-01,13330.0,13383.0,13288.0,13365.0,13365.0,0.0
2016-03-02,13298.0,13323.0,13220.0,13246.0,13246.0,0.0
2016-03-03,13240.0,13280.0,13150.0,13249.0,13249.0,0.0
2016-03-04,13155.0,13175.0,12905.0,13140.0,13140.0,0.0
